2021-10-13 20:10:927 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (103253c73d5f21f434360f93bcd3a5cf)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 20:10:42 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (103253c73d5f21f434360f93bcd3a5cf)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 20:10:182 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (103253c73d5f21f434360f93bcd3a5cf)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 20:10:344 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
2021-10-13 20:10:286 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:995 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (9e0278d7beab1df8cec476c9617cbac9)] -> xpath: //input[@id = 'username-inp']]
2021-10-13 20:10:129 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (9e0278d7beab1df8cec476c9617cbac9)] -> xpath: //input[@id = 'password-inp']]
2021-10-13 20:10:285 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (9e0278d7beab1df8cec476c9617cbac9)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-13 20:10:461 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //app-error-message[@data-qa='signin-inp-password-error']//div[@class='alert alert-danger ng-star-inserted'][normalize-space()='This field is required']'
2021-10-13 20:10:471 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-13 20:10:835 INFO  LoginPage :53 - Clicking on Forgotten Password Link[[ChromeDriver: chrome on WINDOWS (8ee11737e89a24630fc8d0256de93861)] -> xpath: //a[@id = 'forgotPasswordHref']]
2021-10-13 20:10:974 INFO  ResetAcessPage :19 - Verifying Page Message[[ChromeDriver: chrome on WINDOWS (8ee11737e89a24630fc8d0256de93861)] -> xpath: //p[@id = 'signInHeading']]
2021-10-14 12:10:346 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:601 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (37081ec75a55367bf24d6e6c133eeeb9)] -> xpath: //input[@id = 'username-inp']]
2021-10-14 12:10:720 INFO  LoginPage :34 - Entering PassWord[[ChromeDriver: chrome on WINDOWS (37081ec75a55367bf24d6e6c133eeeb9)] -> xpath: //input[@id = 'password-inp']]
2021-10-14 12:10:822 INFO  LoginPage :39 - Clicking on Sign in Button[[ChromeDriver: chrome on WINDOWS (37081ec75a55367bf24d6e6c133eeeb9)] -> xpath: //button[@id = 'signInSubmitButton']]
2021-10-14 12:10:61 INFO  LoginPage :44 - Getting Error Message Proxy element for: DefaultElementLocator 'By.xpath: //div[@data-qa = 'error-message-div-display']/parent::app-error-message[@data-qa = 'alert alert-danger ng-star-inserted']'
2021-10-14 12:10:159 INFO  BasePage :32 - Launching Chrome Browser 
2021-10-14 12:10:92 INFO  LoginPage :29 - Entering UserName [[ChromeDriver: chrome on WINDOWS (c52ec0c0680ebae24f0ed1188372fbe8)] -> xpath: //input[@id = 'username-inp']]
